player_name,gender,country,handedness,event_type,years_active,highest_world_ranking,world_ranking_history,international_matches_played,international_matches_won,international_matches_lost,international_titles_won,international_title_percentage,olympic_medals,world_championship_titles,commonwealth_medals,asian_games_medals,bwf_super_series_titles,bwf_world_superseries_championships,bwf_world_cup_titles,bwf_world_series_titles,bwf_grand_prix_titles,bwf_grand_prix_gold_titles,total_points_scored,total_kills,total_deals,total_defense_points,total_blocks,total_serves_aces,total_serves_errors,serve_accuracy_percent,return_accuracy_percent,smash_success_rate,drop_shot_success_rate,net_play_success_rate,overall_efficiency,attack_efficiency,defense_efficiency,reception_accuracy_percent,serve_receive_efficiency,career_earnings_million_usd,total_trophies_won,best_player_awards,mvp_awards,most_improved_player_awards,sportsmanship_awards,hall_of_fame_inducted,coach_achievements,overall_performance_score
Lin Dan,Male,China,Right,Singles,20,1,18,350,300,50,28,80.0,2,5,0,6,46,2,3,0,0,0,12000,7000,3000,2000,500,800,200,75.0,80.0,85.0,80.0,78.0,82.0,85.0,80.0,78.0,80.0,4.5,50,10,8,0,3,1,0,95.0
Lee Chong Wei,Male,Malaysia,Right,Singles,17,1,29,400,340,60,21,70.0,0,1,3,5,39,1,2,0,0,0,11000,6500,2800,1800,450,750,180,73.0,76.0,82.0,78.0,75.0,80.0,82.0,78.0,75.0,78.0,4.0,40,8,6,0,2,0,0,90.0
Taufik Hidayat,Male,Indonesia,Right,Singles,14,1,15,250,220,30,18,72.0,1,1,0,4,15,0,1,0,0,0,9000,5000,2000,1500,300,600,150,70.0,72.0,80.0,75.0,73.0,78.0,80.0,75.0,72.0,75.0,3.5,35,6,5,0,2,1,0,88.0
Chen Long,Male,China,Right,Singles,14,1,12,300,270,30,22,73.3,2,2,0,5,25,1,2,0,0,0,10000,5500,2200,1600,350,700,180,72.0,74.0,83.0,76.0,75.0,80.0,83.0,76.0,75.0,76.0,4.0,38,7,6,0,3,0,0,90.0
Viktor Axelsen,Male,Denmark,Right,Singles,12,1,10,280,250,30,25,89.3,1,3,0,0,30,2,3,0,0,0,11000,6000,2400,1700,400,750,190,74.0,76.0,85.0,78.0,77.0,82.0,85.0,78.0,76.0,78.0,4.5,42,8,7,0,3,0,0,92.0
Gao Ling,Female,China,Right,Doubles,18,1,25,500,450,50,40,80.0,3,5,0,8,50,5,4,0,0,0,15000,8000,4000,2500,600,1200,300,78.0,80.0,88.0,82.0,80.0,85.0,88.0,80.0,80.0,80.0,5.0,60,10,9,0,4,1,0,93.0
Lee Hyun-il,Male,South Korea,Right,Singles,19,2,20,450,380,70,25,55.6,1,1,0,5,22,1,2,0,0,0,13000,6500,2600,1800,400,900,220,76.0,78.0,83.0,80.0,77.0,80.0,83.0,78.0,78.0,78.0,4.0,40,7,6,0,3,1,0,90.0
Ratchanok Intanon,Female,Thailand,Right,Singles,12,1,15,280,240,40,20,71.4,0,2,2,4,18,1,2,0,0,0,11500,6000,2400,1600,350,850,200,75.0,80.0,85.0,82.0,80.0,82.0,85.0,80.0,80.0,80.0,4.2,45,8,7,1,3,0,0,91.0
Saina Nehwal,Female,India,Right,Singles,16,1,20,400,350,50,25,62.5,1,1,5,6,22,1,2,0,0,0,14000,7000,2800,2000,500,1000,250,78.0,82.0,86.0,80.0,78.0,84.0,86.0,80.0,82.0,82.0,4.8,50,9,8,2,4,1,0,93.0
P. V. Sindhu,Female,India,Right,Singles,10,1,12,220,190,30,18,81.8,2,2,3,4,18,1,1,0,0,0,10000,5500,2200,1600,400,900,200,76.0,80.0,84.0,79.0,76.0,83.0,84.0,78.0,80.0,80.0,4.2,45,8,7,1,3,1,0,92.0
