player_name,country,handedness,playing_style,years_active,highest_world_ranking,world_ranking_history,international_matches_played,international_matches_won,international_matches_lost,international_titles_won,international_title_percentage,olympic_medals,world_championship_titles,world_cup_titles,asian_games_medals,bwf_world_series_titles,bwf_grand_slam_titles,bwf_olympic_titles,bwf_super_series_titles,bwf_world_superseries_championships,bwf_world_cup_titles,bwf_world_series_titles.1,total_points_scored,total_serves,total_volleys,total_smashes,total_dropshots,total_defensive_blocks,total_offensive_blocks,serve_accuracy_percent,return_accuracy_percent,smash_success_rate,dropshot_success_rate,volleys_success_rate,overall_efficiency,offensive_efficiency,defensive_efficiency,reaction_time_ms,serve_receive_efficiency,career_earnings_million_usd,total_trophies_won,best_player_awards,mvp_awards,most_improved_player_awards,sportsmanship_awards,hall_of_fame_inducted,coach_achievements,overall_performance_score,table_tennis_index,normalized_index
Liu Guoliang,China,Right,All-round,20,1,18,550,530,20,40,72.7,3,5,4,6,0,14,3,19,4,4,0,20500,9800,10100,9000,5700,3900,2800,86.0,88.0,92.0,90.0,90.0,95.0,98.0,90.0,220,87.0,7.0,80,17,15,5,10,1,5,100.0,5441.95,100.0
Kong Linghui,China,Left,Offensive,18,1,17,600,580,20,42,70.0,3,5,4,7,0,11,2,17,3,4,0,21000,9800,10300,9200,5600,3800,2700,83.0,86.0,90.0,88.0,89.0,94.0,96.0,88.0,225,86.0,6.5,70,15,13,4,9,1,0,100.0,5042.275,92.6556657080642
Dimitrij Ovtcharov,Germany,Right,All-round,15,1,17,500,480,20,36,72.0,3,4,3,0,0,14,3,18,4,3,0,20000,9600,10000,8800,5600,3800,2700,85.0,87.0,91.0,89.0,90.0,94.0,97.0,89.0,223,86.0,6.7,75,16,14,4,10,1,0,100.0,5012.785,92.11376436755208
Fan Zhendong,China,Left,Offensive,11,1,16,450,430,20,37,82.2,2,4,3,6,0,14,2,19,4,4,0,19500,9500,9900,8600,5400,3700,2600,84.0,86.0,90.0,88.0,89.0,93.0,96.0,88.0,225,85.0,6.3,70,15,13,4,9,1,0,99.5,4880.865000000002,89.68963331158871
Zhang Benzhi,China,Left,Offensive,9,1,12,380,370,10,32,84.2,2,3,3,5,0,12,2,18,3,3,0,19000,9200,9900,8500,5300,3700,2700,85.0,86.0,91.0,89.0,90.0,94.0,96.0,89.0,226,86.0,5.7,72,16,14,4,9,1,0,98.5,4731.084999999999,86.93731107415539
Xu Xin,China,Left,All-round,14,1,17,500,480,20,40,80.0,2,5,4,5,0,12,2,16,3,4,0,21000,9500,10000,8500,5200,3600,2500,82.0,84.0,89.0,88.0,88.0,92.0,95.0,87.0,230,85.0,6.5,65,14,12,4,8,1,0,99.0,4715.325,86.647709001369
Lin Gaoyuan,China,Right,All-round,10,1,13,400,390,10,34,85.0,2,3,3,5,0,11,2,17,3,3,0,18500,9000,9800,8400,5200,3600,2600,84.0,85.0,90.0,88.0,89.0,93.0,95.0,88.0,224,85.0,5.6,70,15,13,4,8,1,0,98.0,4627.780000000001,85.03900256341937
Timo Boll,Germany,Right,All-round,20,1,19,650,620,30,40,61.5,1,4,3,0,0,12,0,16,3,3,0,22000,10000,10500,9000,5500,3700,2600,82.0,85.0,89.0,87.0,88.0,93.0,95.0,86.0,228,85.0,6.2,65,14,12,4,8,1,0,99.0,4616.8099999999995,84.83742040996334
Liang Jingkun,China,Right,All-round,10,1,14,400,390,10,35,87.5,1,4,3,5,0,13,1,18,3,4,0,18500,9200,9700,8400,5300,3650,2550,83.0,85.0,89.0,86.0,87.0,92.0,94.0,86.0,227,84.0,6.0,68,14,12,3,8,1,0,98.5,4566.700000000001,83.91661077371164
Wang Hao,China,Left,Offensive,18,1,19,620,590,30,42,67.7,2,4,3,7,0,11,2,14,2,3,0,19500,9200,9700,8200,4900,3500,2400,81.0,83.0,88.0,86.0,86.0,90.0,93.0,85.0,235,83.0,5.3,60,13,11,3,7,1,0,98.0,4564.915,83.88381003133068
