player_name,position,seasons_played,games_played,plate_appearances,hits,home_runs,rbi,runs,stolen_bases,batting_avg,on_base_percentage,slugging_percentage,ops,woba,wrc_plus,ops_plus,total_bases,strikeouts_batting,walks_batting,double_plays_grounded_into,gold_gloves,silver_sluggers,mvp_awards,all_star_appearances,world_series_titles,triple_crowns,war,jaws,def_runs_saved,era,pitcher_wins,pitcher_strikeouts,pitcher_saves,pitcher_whip,cy_young_awards,perfect_games,no_hitters,career_postseason_war,hall_of_fame
Babe Ruth,RF/SP,22,2503,10622,2873,714,2214,2174,123,0.342,0.474,0.69,1.164,0.513,197,206,5793,1330,2062,90,0,0,1,2,7,1,183.1,179.0,0,2.28,94,488,0,1.16,0,0,0,3.6,1
Willie Mays,CF,22,2992,12496,3283,660,1903,2062,338,0.302,0.384,0.557,0.941,0.415,154,156,6066,1526,1464,240,12,0,2,24,1,0,156.2,149.8,0,0,0,0,0,0,0,0,0,1.5,1
Barry Bonds,LF,22,2986,12606,2935,762,1996,2227,514,0.298,0.444,0.607,1.051,0.435,173,182,5856,1539,2558,168,8,12,7,14,0,0,162.8,157.7,0,0,0,0,0,0,0,0,0,3.0,0
Hank Aaron,RF,23,3298,13941,3771,755,2297,2174,240,0.305,0.374,0.555,0.928,0.405,153,155,6856,1383,1402,328,3,0,1,25,1,0,143.0,136.4,0,0,0,0,0,0,0,0,0,2.5,1
Ted Williams,LF,19,2292,9788,2654,521,1839,1798,24,0.344,0.482,0.634,1.116,0.488,188,190,4884,709,2021,119,0,0,2,19,0,2,122.0,120.1,0,0,0,0,0,0,0,0,0,0.2,1
Ty Cobb,CF,24,3035,13099,4189,117,1938,2246,897,0.366,0.433,0.512,0.945,0.436,170,168,5854,357,1249,100,0,0,1,0,0,1,151.5,145.5,0,0,0,0,0,0,0,0,0,0.1,1
Stan Musial,1B/OF,22,3026,12717,3630,475,1951,1949,78,0.331,0.417,0.559,0.976,0.435,158,159,6134,696,1599,186,0,0,3,24,3,0,128.7,125.3,0,0,0,0,0,0,0,0,0,1.2,1
Mickey Mantle,CF,18,2401,9909,2415,536,1509,1677,153,0.298,0.421,0.557,0.977,0.431,170,172,4511,1710,1733,113,1,0,3,20,7,1,110.2,104.2,0,0,0,0,0,0,0,0,0,2.9,1
Lou Gehrig,1B,17,2164,9660,2721,493,1995,1888,102,0.34,0.447,0.632,1.08,0.464,173,179,5060,790,1508,105,0,0,2,7,6,1,114.1,112.0,0,0,0,0,0,0,0,0,0,2.4,1
Walter Johnson,SP,21,802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,164.8,153.0,0,2.17,417,3509,34,1.06,0,0,1,1.0,1
Cy Young,SP,22,906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,165.7,153.8,0,2.63,511,2803,17,1.13,0,1,3,0.0,1
