player_name,country,years_active,total_lpga_tour_wins,total_let_tour_wins,total_major_wins,times_world_no1,total_weeks_at_no1,cme_globe_championships,runner_ups_in_majors,top_10_in_majors,solheim_cups_played,scoring_average,average_driving_distance_yards,leading_money_list_times,lpga_player_of_year_times,vardon_trophy_equiv_times,rolex_player_of_year_times,career_earnings_million_usd,doping_tests_passed,doping_tests_failed,hall_of_fame_inducted,signature_tournaments_won,seasons_in_top50_world_ranking,wins_across_all_tours,runner_ups_total,avg_putting_strokes_per_round,hole_in_ones,top_5_in_majors,top_3_in_majors,wins_outside_lpga_let,wedge_distance_proximity_feet,strokes_gained_off_tee,strokes_gained_approach,strokes_gained_putting,strokes_gained_tee_to_green,comebacks_from_54_hole_deficit,comebacks_final_round_deficit,notable_awards,retirement_year,coach_name,womens_golf_index,normalized_index
Annika Sorenstam,Sweden,16,72,17,10,3,60,0,11,61,8,69.7,265.0,8,8,6,8,22.6,30,0,1,12,10,93,40,29.3,8,25,16,4,18.0,1.2,1.5,0.8,2.7,5,4,7,2008,Henri Reis,384.53,100.0
Kathy Whitworth,USA,33,88,0,6,0,0,0,10,45,0,71.2,235.0,8,7,7,0,1.2,0,0,1,15,0,100,90,30.2,11,32,20,5,28.0,0.0,0.0,0.0,0.0,8,6,6,2005,Self-taught,323.51,84.13127714352586
Mickey Wright,USA,26,82,0,13,0,0,0,11,45,0,72.1,240.0,7,0,5,0,0.78,0,0,1,15,0,90,30,30.1,5,35,25,8,28.0,0.0,0.0,0.0,0.0,6,7,4,1973,Self-taught,302.984,78.7933321197306
Patty Berg,USA,30,60,0,15,0,0,0,12,40,0,73.5,230.0,1,0,0,0,0.4,0,0,1,10,0,66,30,31.5,8,25,18,6,30.0,0.0,0.0,0.0,0.0,5,6,3,1966,Self-taught,194.52000000000004,50.58643018750164
Karrie Webb,Australia,25,41,15,7,0,25,0,13,49,0,70.2,255.0,4,2,3,1,20.3,25,0,1,9,12,57,38,29.6,11,22,15,1,20.0,1.0,1.3,0.6,2.0,3,5,5,0,Ian Triggs,169.43999999999997,44.064182248459154
Louise Suggs,USA,22,61,0,11,0,0,0,6,34,0,73.1,230.0,1,0,0,0,0.2,0,0,1,10,0,58,25,31.2,6,20,15,3,29.0,0.0,0.0,0.0,0.0,4,4,3,1962,Self-taught,156.46,40.68863287649859
Nancy Lopez,USA,25,48,0,3,0,0,0,8,29,1,70.9,240.0,3,4,3,0,5.3,0,0,1,8,0,50,25,29.9,10,20,12,3,27.0,0.0,0.0,0.0,0.0,4,4,6,2003,Self-taught,99.58999999999997,25.899149611213684
Babe Zaharias,USA,16,41,0,10,0,0,0,5,28,0,73.0,235.0,1,0,0,0,0.3,0,0,1,8,0,50,20,31.0,7,18,12,4,29.0,0.0,0.0,0.0,0.0,3,3,6,1956,Self-taught,84.44000000000001,21.95927495904091
Inbee Park,South Korea,16,21,3,7,4,106,1,6,30,0,69.9,250.0,3,2,3,2,17.0,20,0,1,5,10,28,19,28.5,4,18,12,4,19.0,0.8,1.0,1.5,2.0,2,3,6,0,Gi Hyeob Nam,75.39999999999999,19.60835305437807
Juli Inkster,USA,36,31,0,7,0,0,0,5,35,9,71.0,245.0,2,2,2,0,14.0,5,0,1,5,5,34,30,29.9,6,20,13,3,26.5,0.2,0.4,0.3,0.7,4,5,4,2023,Brian Inkster,67.29999999999998,17.501885418562917
Betsy King,USA,28,34,0,6,0,0,0,5,37,5,70.8,245.0,3,2,3,0,7.0,0,0,1,5,0,39,20,29.8,8,15,10,2,28.0,0.0,0.0,0.0,0.0,3,3,4,2005,Ed Oldfield,56.199999999999996,14.615244584297715
Sandra Haynie,USA,28,42,0,4,0,0,0,8,30,0,71.5,235.0,2,1,1,0,2.1,0,0,1,5,0,47,25,30.5,4,18,12,2,29.0,0.0,0.0,0.0,0.0,3,3,3,1990,Self-taught,55.33000000000001,14.388994356747203
Lorena Ochoa,Mexico,8,27,2,2,1,158,0,3,16,0,69.5,270.0,3,4,3,4,15.1,15,0,1,4,5,30,12,28.9,5,10,7,1,17.5,1.2,1.6,1.0,2.8,3,4,5,2010,Rafael Alarcon,51.42999999999999,13.374769198762124
Lydia Ko,New Zealand,11,19,6,2,2,130,2,4,25,0,69.0,260.0,2,2,2,2,15.5,25,0,0,5,9,25,14,28.7,2,12,8,1,18.5,0.8,1.4,1.3,2.4,3,3,6,0,Sean Foley,26.999999999999996,7.021558786050503
Se Ri Pak,South Korea,19,25,0,5,0,0,0,7,28,0,70.7,260.0,2,1,0,1,12.5,20,0,1,4,6,30,20,29.7,7,18,10,5,21.0,0.7,1.0,0.5,1.8,2,3,4,2016,Self-taught,24.05,6.254388474241282
Carol Mann,USA,23,38,0,2,0,0,0,5,25,0,72.4,230.0,2,1,1,0,0.9,0,0,1,4,0,40,20,31.0,3,15,8,2,30.0,0.0,0.0,0.0,0.0,2,2,3,1981,Self-taught,13.919999999999984,3.620003640808255
Yani Tseng,Taiwan,14,15,4,5,1,109,0,3,16,0,70.2,265.0,1,2,2,2,10.2,20,0,0,2,8,21,10,29.5,3,12,8,2,20.0,1.0,1.2,0.5,2.2,3,2,4,0,Gary Gilchrist,-2.0900000000000096,-0.5435206615868748
